Title,Audruring,,,,,,,
Created,03/09/2021 18:03,,,,,,,
Track,Audruring,,,,,,,
Description,,,,,,,,
Application,RaceChrono v7.3.0,,,,,,,
,,,,,,,,
Lap,Full,Delta,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6
 , , ,Split 1,Split 2,Split 3,Split 4,Split 5,Start/Finish
Opt,1:29.03,-0.93,20.28,18.36,12.17,8.06,18.46,11.70
 ,Session start, , , , , , , 
 ,03/09/2021 18:03, , , , , , , 
1,2:03.79,+33.83,50.16,20.21,13.19,9.03,18.77,12.42
2,1:31.32,+1.37,20.89,19.12,12.17,8.52,18.94,11.70
3,1:30.84,+0.89,20.28,18.97,12.33,8.24,18.56,12.46
4,1:29.96,+0.00,20.36,18.36,12.41,8.06,18.46,12.31
5,1:31.26,+1.30,20.30,18.54,12.46,8.15,18.55,13.24
6,1:30.62,+0.67,20.54,18.46,12.55,8.20,18.47,12.39
7,1:36.12,+6.16,20.49,18.65,12.61,9.14,22.12,13.10
8,*,*,23.39,22.06,14.99,9.05,20.38,*
