Title,Nemuno Ziedas,,,,,
Created,07/10/2021 18:17,,,,,
Track,Nemuno Ziedas,,,,,
Description,,,,,,
Application,RaceChrono v7.3.0,,,,,
,,,,,,
Lap,Full,Delta,Sector 1,Sector 2,Sector 3,Sector 4
 , , ,Split 1,Split 2,Split 3,Start/Finish
Opt,1:28.25,-0.03,18.60,21.44,26.67,21.55
 ,Session start, , , , , 
 ,07/10/2021 18:17, , , , , 
1,1:47.62,+19.34,30.05,24.99,28.85,23.73
2,1:33.06,+4.78,19.35,23.21,27.74,22.77
3,1:30.35,+2.07,18.60,22.10,27.63,22.02
4,1:28.28,+0.00,18.63,21.44,26.67,21.55
5,1:34.46,+6.18,18.97,22.70,30.31,22.48
6,1:30.11,+1.83,18.76,21.75,27.13,22.46
7,*,*,18.92,22.45,27.50,*
